Peaje_key,Admon,Nombre,Nombre_proyecto,Responsable,Telefono,Telefono_gerente,cat_1,cat_2,cat_3,cat_4,cat_5,cat_6,cat_7,cat_8,cat_9,eje_adicional,eje_adicional_2
CENCAR-INVIAS,INVIAS,CENCAR,MALLA VIAL DEL VALLE DEL CAUCA Y CAUCA,INVIAS,-1,-1,8600,10300,27800,36300,41800,0,0,0,0,19800,10000
PASO DE LA TORRE-INVIAS,INVIAS,PASO DE LA TORRE,MALLA VIAL DEL VALLE DEL CAUCA Y CAUCA,INVIAS,-1,-1,8600,10300,27800,36300,41800,0,0,0,0,19800,10000
IRACA-Concesión Autopistas de los Llanos,Concesión Autopistas de los Llanos,IRACA,IP - MALLA VIAL DEL META,Concesión ANI,(8) 6700868 - #765 018000918624,(578) 668 49 90-91,9700,19400,13300,23300,34600,46000,50000,0,0,0,0
ROZO-INVIAS,INVIAS,ROZO,MALLA VIAL DEL VALLE DEL CAUCA Y CAUCA,INVIAS,-1,-1,8600,10300,27800,36300,41800,0,0,0,0,19800,10000
CERRITO-INVIAS,INVIAS,CERRITO,MALLA VIAL DEL VALLE DEL CAUCA Y CAUCA,INVIAS,-1,-1,8600,10300,27800,36300,41800,0,0,0,0,0,0
MEDIACANOA-INVIAS,INVIAS,MEDIACANOA,MALLA VIAL DEL VALLE DEL CAUCA Y CAUCA,INVIAS,-1,-1,8600,10300,27800,36300,41800,0,0,0,0,19800,10000
LOBOGUERRERO-CONSORCIO NQS,CONSORCIO NQS,LOBOGUERRERO,IP - VÍA AL PUERTO,INVIAS,3228171095,3228171095,8000,9000,21500,28200,32100,0,0,0,0,20800,9800
OCOA-Concesión Autopistas de Los Llanos,Concesión Autopistas de Los Llanos,OCOA,IP - MALLA VIAL DEL META,Concesión ANI,(8) 6700868 – 3138860370 - 018000918624 - #76,(578) 668 49 90-91,9700,19400,13300,23300,34600,46000,50000,0,0,0,0
LA LIBERTAD-Concesión Autopistas de los Llanos,Concesión Autopistas de los Llanos,LA LIBERTAD,IP - MALLA VIAL DEL META,Concesión ANI,(8) 6700868 – 3115615494,3223472204 - #765,12700,25300,18300,30500,45400,59800,68500,0,0,0,0
CASETABLA-Concesión Coviandes,Concesión Coviandes,CASETABLA,IP - MALLA VIAL DEL META,Concesión ANI,3102466017,018000918624 Operadores Claro – Movistar #765,4400,4800,4800,4800,19700,25000,28100,0,0,0,0
FLANDES-Concesión Autovía Neiva - Girardot,Concesión Autovía Neiva - Girardot,FLANDES,IP - NEIVA GIRARDOT,Concesión ANI,3103424699 3153340727 – 3174340907,667 10 30,11700,13900,15600,19900,33300,42700,48600,0,0,0,0
PUENTE AMARILLO-Concesión Vial del Oriente - COVIORIENTE S.A.S,Concesión Vial del Oriente - COVIORIENTE S.A.S,PUENTE AMARILLO,VILLAVICENCIO-YOPAL,Concesión ANI,3168341260,3178942293  - 018000180818,3600,12500,7900,12500,17700,23700,26900,0,0,0,0
PIPIRAL-Concesión Coviandes S.A.,Concesión Coviandes S.A.,PIPIRAL,BOGOTÁ - VILLAVICENCIO,Concesión ANI,3214698772 - 3105851322,7425451,16600,33000,22500,39400,43000,65800,85100,0,0,0,0
CHICORAL-Concesionaria San Rafael  S.A.,Concesionaria San Rafael  S.A.,CHICORAL,GIRARDOT - IBAGUÉ - CAJAMARCA,Concesión ANI,3138863287,3212087489,10800,11800,10800,14100,28400,38000,41800,0,0,9500,9700
VERACRUZ-Concesión Vial del Oriente - COVIORIENTE S.A.S,Concesión Vial del Oriente - COVIORIENTE S.A.S,VERACRUZ,VILLAVICENCIO-YOPAL,Concesión ANI,3168341260,3178942293  - 018000180818,6700,13500,8700,13500,19400,26000,29100,0,0,0,0
CHINAUTA-Concesión Vía 40 Express,Concesión Vía 40 Express,CHINAUTA,IP - TERCER CARRIL,Concesión ANI,3104224687 - 3117872339 - 3117903187,3104224687 - 3117872339 - 3117903187,10300,11600,24800,40300,46300,0,0,0,0,9400,9700
NARANJAL-CONCESION COVIANDES,CONCESION COVIANDES,NARANJAL,BOGOTÁ - VILLAVICENCIO,Concesión ANI,3144360298 // 3123060332 - 3105851322,7425451,10200,26600,20100,39400,45900,52900,58800,0,0,0,0
